domain,group,condition,learn_set,test_set
animal,A,single,"[""dalmatian""]","[""animal/sup-animal-3.jpg"",""fruit/sup-fruit-4.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-1.jpg"",""vehicle/sup-vehicle-3.jpg"",""animal/basic-dog/basic-dog-2.jpg"",""furniture/sup-furniture-3.jpg"",""light/sup-light-5.jpg"",""planet/sup-planet-1.jpg"",""electronics/sup-electronics-4.jpg"",""animal/sup-animal-4.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-2.jpg"",""animal/sup-animal-5.jpg"",""animal/basic-dog/contrast-corgi/contrast-corgi-2.jpg"",""animal/basic-dog/basic-dog-1.jpg"",""beast/sup-beast-2.jpg"",""animal/basic-dog/contrast-corgi/contrast-corgi-1.jpg"",""animal/basic-dog/basic-dog-3.jpg"",""animal/sup-animal-1.jpg"",""vegetable/sup-vegetable-4.jpg"",""animal/sup-animal-2.jpg""]"
beast,A,contrast,"[""triceratops"",""trex""]","[""furniture/sup-furniture-2.jpg"",""vehicle/sup-vehicle-4.jpg"",""fruit/sup-fruit-3.jpg"",""electronics/sup-electronics-5.jpg"",""animal/sup-animal-2.jpg"",""beast/sup-beast-4.jpg"",""beast/basic-dinosaur/basic-dinosaur-2.jpg"",""beast/basic-dinosaur/basic-dinosaur-1.jpg"",""beast/basic-dinosaur/contrast-triceratops/contrast-triceratops-2.jpg"",""beast/sup-beast-1.jpg"",""beast/basic-dinosaur/contrast-triceratops/contrast-triceratops-1.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-2.jpg"",""beast/sup-beast-3.jpg"",""beast/basic-dinosaur/basic-dinosaur-3.jpg"",""beast/sup-beast-5.jpg"",""beast/sup-beast-2.jpg"",""vegetable/sup-vegetable-5.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-1.jpg"",""light/sup-light-1.jpg"",""planet/sup-planet-1.jpg""]"
electronics,A,single,"[""smart_phone""]","[""electronics/basic-phone/sub-smart_phone/sub-smart_phone-1.jpg"",""electronics/sup-electronics-4.jpg"",""electronics/basic-phone/contrast-flip_phone/contrast-flip_phone-2.jpg"",""electronics/basic-phone/basic-phone-3.jpg"",""electronics/basic-phone/basic-phone-1.jpg"",""vegetable/sup-vegetable-5.jpg"",""electronics/sup-electronics-2.jpg"",""planet/sup-planet-4.jpg"",""furniture/sup-furniture-4.jpg"",""electronics/basic-phone/sub-smart_phone/sub-smart_phone-2.jpg"",""animal/sup-animal-2.jpg"",""fruit/sup-fruit-2.jpg"",""light/sup-light-3.jpg"",""electronics/basic-phone/basic-phone-2.jpg"",""electronics/basic-phone/contrast-flip_phone/contrast-flip_phone-1.jpg"",""electronics/sup-electronics-5.jpg"",""electronics/sup-electronics-1.jpg"",""vehicle/sup-vehicle-1.jpg"",""electronics/sup-electronics-3.jpg"",""beast/sup-beast-5.jpg""]"
fruit,A,contrast,"[""green_apple"",""red_apple""]","[""fruit/basic-apple/contrast-green_apple/contrast-green_apple-1.jpg"",""vegetable/sup-vegetable-3.jpg"",""fruit/sup-fruit-5.jpg"",""fruit/basic-apple/basic-apple-3.jpg"",""electronics/sup-electronics-5.jpg"",""fruit/basic-apple/sub-red_apple/sub-red_apple-1.jpg"",""furniture/sup-furniture-3.jpg"",""fruit/sup-fruit-4.jpg"",""animal/sup-animal-1.jpg"",""light/sup-light-5.jpg"",""fruit/basic-apple/contrast-green_apple/contrast-green_apple-2.jpg"",""fruit/sup-fruit-3.jpg"",""fruit/sup-fruit-1.jpg"",""fruit/basic-apple/sub-red_apple/sub-red_apple-2.jpg"",""fruit/basic-apple/basic-apple-1.jpg"",""fruit/sup-fruit-2.jpg"",""beast/sup-beast-3.jpg"",""fruit/basic-apple/basic-apple-2.jpg"",""planet/sup-planet-5.jpg"",""vehicle/sup-vehicle-3.jpg""]"
furniture,A,single,"[""wooden_chair""]","[""vegetable/sup-vegetable-3.jpg"",""animal/sup-animal-5.jpg"",""beast/sup-beast-5.jpg"",""furniture/basic-chair/basic-chair-3.jpg"",""planet/sup-planet-2.jpg"",""light/sup-light-5.jpg"",""furniture/basic-chair/contrast-office_chair/contrast-office_chair-2.jpg"",""furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-1.jpg"",""furniture/sup-furniture-1.jpg"",""furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-2.jpg"",""vehicle/sup-vehicle-3.jpg"",""furniture/basic-chair/basic-chair-2.jpg"",""furniture/sup-furniture-2.jpg"",""furniture/basic-chair/basic-chair-1.jpg"",""electronics/sup-electronics-2.jpg"",""furniture/basic-chair/contrast-office_chair/contrast-office_chair-1.jpg"",""furniture/sup-furniture-4.jpg"",""fruit/sup-fruit-3.jpg"",""furniture/sup-furniture-5.jpg"",""furniture/sup-furniture-3.jpg""]"
light,A,contrast,"[""desk_lamp"",""gooseneck_lamp""]","[""electronics/sup-electronics-5.jpg"",""vegetable/sup-vegetable-1.jpg"",""planet/sup-planet-5.jpg"",""fruit/sup-fruit-4.jpg"",""light/sup-light-4.jpg"",""light/lamp/basic-lamp-1.jpg"",""light/sup-light-3.jpg"",""furniture/sup-furniture-5.jpg"",""light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-2.jpg"",""light/sup-light-5.jpg"",""light/lamp/basic-lamp-3.jpg"",""animal/sup-animal-4.jpg"",""light/lamp/basic-lamp-2.jpg"",""light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-1.jpg"",""light/lamp/contrast-desk_lamp/contrast-desk_lamp-2.jpg"",""vehicle/sup-vehicle-5.jpg"",""light/lamp/contrast-desk_lamp/contrast-desk_lamp-1.jpg"",""beast/sup-beast-3.jpg"",""light/sup-light-1.jpg"",""light/sup-light-2.jpg""]"
vegetable,A,single,"[""green_pepper""]","[""vegetable/basic-pepper/basic-pepper-3.jpg"",""vehicle/sup-vehicle-1.jpg"",""vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-1.jpg"",""vegetable/sup-vegetable-4.jpg"",""vegetable/sup-vegetable-1.jpg"",""electronics/sup-electronics-3.jpg"",""vegetable/sup-vegetable-3.jpg"",""fruit/sup-fruit-1.jpg"",""vegetable/basic-pepper/basic-pepper-1.jpg"",""beast/sup-beast-3.jpg"",""planet/sup-planet-3.jpg"",""vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-2.jpg"",""vegetable/basic-pepper/basic-pepper-2.jpg"",""vegetable/sup-vegetable-5.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-1.jpg"",""vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-2.jpg"",""light/sup-light-4.jpg"",""animal/sup-animal-1.jpg"",""vegetable/sup-vegetable-2.jpg"",""furniture/sup-furniture-2.jpg""]"
vehicle,A,contrast,"[""van"",""racecar""]","[""vehicle/basic-car/basic-car-1.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-1.jpg"",""vehicle/sup-vehicle-5.jpg"",""vehicle/basic-car/contrast-van/contrast-van-2.jpg"",""light/sup-light-2.jpg"",""furniture/sup-furniture-3.jpg"",""vegetable/sup-vegetable-3.jpg"",""planet/sup-planet-4.jpg"",""vehicle/sup-vehicle-2.jpg"",""fruit/sup-fruit-2.jpg"",""vehicle/basic-car/contrast-van/contrast-van-1.jpg"",""vehicle/sup-vehicle-1.jpg"",""electronics/sup-electronics-4.jpg"",""vehicle/sup-vehicle-3.jpg"",""vehicle/basic-car/basic-car-2.jpg"",""beast/sup-beast-1.jpg"",""animal/sup-animal-1.jpg"",""vehicle/basic-car/basic-car-3.jpg"",""vehicle/basic-car/sub-racecar/sub-racecar-2.jpg"",""vehicle/sup-vehicle-4.jpg""]"
animal,B,contrast,"[""corgi"",""dalmatian""]","[""animal/sup-animal-2.jpg"",""animal/basic-dog/basic-dog-3.jpg"",""vehicle/sup-vehicle-1.jpg"",""animal/basic-dog/contrast-corgi/contrast-corgi-2.jpg"",""electronics/sup-electronics-1.jpg"",""animal/sup-animal-5.jpg"",""animal/basic-dog/basic-dog-1.jpg"",""vegetable/sup-vegetable-4.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-2.jpg"",""beast/sup-beast-5.jpg"",""animal/basic-dog/contrast-corgi/contrast-corgi-1.jpg"",""animal/sup-animal-3.jpg"",""animal/basic-dog/basic-dog-2.jpg"",""animal/basic-dog/sub-dalmatian/sub-dalmatian-1.jpg"",""fruit/sup-fruit-5.jpg"",""light/sup-light-3.jpg"",""animal/sup-animal-4.jpg"",""animal/sup-animal-1.jpg"",""planet/sup-planet-4.jpg"",""furniture/sup-furniture-2.jpg""]"
beast,B,single,"[""trex""]","[""furniture/sup-furniture-3.jpg"",""electronics/sup-electronics-3.jpg"",""beast/sup-beast-5.jpg"",""beast/sup-beast-1.jpg"",""vegetable/sup-vegetable-2.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-2.jpg"",""beast/basic-dinosaur/contrast-triceratops/contrast-triceratops-1.jpg"",""planet/sup-planet-2.jpg"",""beast/basic-dinosaur/basic-dinosaur-2.jpg"",""fruit/sup-fruit-5.jpg"",""light/sup-light-2.jpg"",""beast/basic-dinosaur/contrast-triceratops/contrast-triceratops-2.jpg"",""animal/sup-animal-1.jpg"",""beast/sup-beast-3.jpg"",""vehicle/sup-vehicle-4.jpg"",""beast/sup-beast-4.jpg"",""beast/basic-dinosaur/basic-dinosaur-1.jpg"",""beast/sup-beast-2.jpg"",""beast/basic-dinosaur/sub-trex/sub-trex-1.jpg"",""beast/basic-dinosaur/basic-dinosaur-3.jpg""]"
